iso3,country,year,gdp_current_usd,global_gdp_total,gdp_share,gdp_log,gdp_rank,gdp_share_change
CHN,China,1961,50162299349.7871,1348994512562.71,0.037184954336465646,10.70037743555865,6,-0.00972611983839386
ITA,Italy,1961,46649487320.4225,1348994512562.71,0.034580931861465915,10.668846875196452,7,0.0016490711918487541
CAN,Canada,1961,41038192837.9035,1348994512562.71,0.03042131932763943,10.613188227888195,8,-0.0013749995735557463
IND,India,1961,39232435784.0358,1348994512562.71,0.029082724517170356,10.593645272563041,9,5.647702667700011e-05
ARG,Argentina,1961,20132220374.9093,1348994512562.71,0.01492387121476406,10.30389167570301,10,0.002487559354515072
AUS,Australia,1961,19713123154.0997,1348994512562.71,0.014613197437438285,10.294755435093299,11,5.429608888073145e-06
SWE,Sweden,1961,17329620584.6147,1348994512562.71,0.012846324001491525,10.238789054357772,12,0.0003593738779030936
BRA,Brazil,1961,17275940449.3837,1348994512562.71,0.012806531300534557,10.23744169835366,13,-0.0005429706659731779
NLD,Netherlands,1961,14599836396.388,1348994512562.71,0.01082275447411007,10.164347989171834,14,0.0004107575697474188
ESP,Spain,1961,14238126759.7335,1348994512562.71,0.010554621703156571,10.153452855071535,15,0.0008155412372721164
MEX,Mexico,1961,14160000000.0,1348994512562.71,0.010496706894010995,10.151063253353751,16,0.00027517153782073527
BEL,Belgium,1961,12561701694.3319,1348994512562.71,0.009311899772274241,10.099048475897872,17,5.402680812720967e-05
CHE,Switzerland,1961,11713348834.3069,1348994512562.71,0.008683021854592153,10.0686810771678,18,0.0005212884291640827
ZAF,South Africa,1961,9225996309.60148,1348994512562.71,0.006839165188355499,9.96501327655449,19,-1.8510306087041357e-05
PHL,Philippines,1961,8171194424.94498,1348994512562.71,0.006057248082812442,9.912285544200463,20,0.00016583877418353387
VEN,"Venezuela, RB",1961,8067267030.61862,1348994512562.71,0.0059802074474662485,9.906726432547874,21,-2.7247792756777967e-05
TUR,Turkiye,1961,7988888888.88889,1348994512562.71,0.005922106290641798,9.902486380943557,22,-9.101597536090994e-06
AUT,Austria,1961,7346566037.83392,1348994512562.71,0.005445956947502708,9.866084386796825,23,0.0002536001643546528
DNK,Denmark,1961,7058361229.35415,1348994512562.71,0.0052323127808320356,9.848703880703006,24,0.00024604830680925553
FIN,Finland,1961,5984433774.41601,1348994512562.71,0.00443621802660062,9.777023065305542,25,0.000297843016807145
NZL,New Zealand,1961,5721994864.23066,1348994512562.71,0.004241673936360556,9.75754746366895,26,-9.785253044536629e-05
NOR,Norway,1961,5669689210.3186,1348994512562.71,0.004202900128591172,9.753559253259226,27,0.00012886678571173357
CHL,Chile,1961,4948564550.91046,1348994512562.71,0.003668335567584764,9.694479239736191,28,0.00036741953074554074
GRC,Greece,1961,4892397431.33292,1348994512562.71,0.003626699282889403,9.689521729481175,29,0.00027578345351155463
BGD,Bangladesh,1961,4817580375.0,1348994512562.71,0.003571237933242555,9.682828969020857,30,0.00022031914361370607
COL,Colombia,1961,4540447761.19403,1348994512562.71,0.003365801505425294,9.657098683391688,31,0.00020594163756275114
EGY,"Egypt, Arab Rep.",1961,4494575611.21289,1348994512562.71,0.0033317968081830523,9.65268869086132,32,3.4669421451741754e-05
NGA,Nigeria,1961,4467287893.08484,1348994512562.71,0.003311568617575953,9.65004394135683,33,2.2354965111613927e-05
IRN,"Iran, Islamic Rep.",1961,4426949094.8403,1348994512562.71,0.003281665754466519,9.646104528087484,34,-9.868036315312852e-06
PAK,Pakistan,1961,4118647627.04746,1348994512562.71,0.0030531240777423095,9.614754637264719,35,0.000114224928395662
ISR,Israel,1961,3708586471.46387,1348994512562.71,0.0027491486710487793,9.569208409717445,36,0.00034223905495188575
PRT,Portugal,1961,3573719084.53354,1348994512562.71,0.002649172440104652,9.553120411395199,37,3.174595251616242e-05
COD,"Congo, Dem. Rep.",1961,3086746857.14286,1348994512562.71,0.0022881834050450726,9.489501014628233,38,-0.0003451193529503695
THA,Thailand,1961,3034037810.96795,1348994512562.71,0.0022491105654715614,9.482020988775172,39,8.506819342553708e-05
PER,Peru,1961,2897852693.27494,1348994512562.71,0.002148157510121991,9.462076305178005,40,0.00013207992709709333
TZA,Tanzania,1961,2826179031.22839,1348994512562.71,0.002095026336214997,9.451199669830949,41,1.6441214951128363e-05
DZA,Algeria,1961,2434747055.94018,1348994512562.71,0.0018048606078573631,9.386453849363612,42,-0.00033007279951526415
KOR,"Korea, Rep.",1961,2427244760.66918,1348994512562.71,0.0017992992099412606,9.385113572313942,43,-0.0013150311883245662
IRL,Ireland,1961,2151772979.96956,1348994512562.71,0.001595093945846968,9.332796449732589,44,2.851022243383788e-05
MAR,Morocco,1961,2025693539.55842,1348994512562.71,0.0015016321569093505,9.30657374302531,45,-9.521210848096456e-05
SAU,Saudi Arabia,1961,1920811284.22222,1348994512562.71,0.001423883689914512,9.283484698413531,46,5.359903327032886e-05
MYS,Malaysia,1961,1901856122.72231,1348994512562.71,0.0014098323640392863,9.27917765904133,47,-9.222341442125252e-05
PRI,Puerto Rico (US),1961,1865100000.0,1348994512562.71,0.0013825853127132704,9.270702122087819,48,5.637245465051717e-05
ECU,Ecuador,1961,1753850955.05808,1348994512562.71,0.0013001171900442032,9.243992683587516,49,-0.0003220537473763868
ETH,Ethiopia,1961,1680859514.1016,1348994512562.71,0.0012460091560405535,9.225531416711283,50,-1.640665838930841e-05
IRQ,Iraq,1961,1671960965.21561,1348994512562.71,0.0012394127252892636,9.223226133874915,51,3.4422108483767424e-05
URY,Uruguay,1961,1547388781.43133,1348994512562.71,0.001147068254926943,9.189599443898,52,0.00017328732078983474
LKA,Sri Lanka,1961,1444327731.09244,1348994512562.71,0.0010706698341927453,9.159665749781809,53,-3.447406330739562e-05
HKG,"Hong Kong SAR, China",1961,1383681651.13776,1348994512562.71,0.0010257133281507233,9.141036181842095,54,-9.606432097264547e-06
GHA,Ghana,1961,1302674324.88378,1348994512562.71,0.0009656631756114896,9.114835853483411,55,1.1525104110290453e-05
SDN,Sudan,1961,1222860428.55503,1348994512562.71,0.0009064977041544368,9.087376891568248,56,2.3585809720355557e-05
ZWE,Zimbabwe,1961,1097206526.43457,1348994512562.71,0.0008133513637132492,9.040288382222768,57,-1.2467200173399721e-05
GTM,Guatemala,1961,1076699900.0,1348994512562.71,0.0007981499479598128,9.0320946727172,58,-1.9886346178731723e-05
SEN,Senegal,1961,1058975256.97025,1348994512562.71,0.0007850107966403029,9.024885812905575,59,-1.743578473510643e-06
SYR,Syrian Arab Republic,1961,945244972.067039,1348994512562.71,0.000700703348504613,8.975544375947985,60,2.8383104117460302e-05
TUN,Tunisia,1961,866155428.571429,1348994512562.71,0.0006420748346307039,8.937595831640973,61,0.0
KEN,Kenya,1961,792959472.816211,1348994512562.71,0.0005878151952670371,8.89925099162775,62,-3.242620583328282e-05
SGP,Singapore,1961,764629788.123689,1348994512562.71,0.0005668146022855999,8.88345121307321,63,1.4387882808824994e-05
JAM,Jamaica,1961,748043500.7826,1348994512562.71,0.0005545193059099461,8.873926854014883,64,6.550649449162875e-06
LUX,Luxembourg,1961,710163719.406917,1348994512562.71,0.0005264392944473923,8.851358481449335,65,-3.0055794999260077e-05
MDG,Madagascar,1961,699161944.558097,1348994512562.71,0.0005182837573074231,8.844577781585432,66,-9.318132811410112e-06
ZMB,Zambia,1961,682359727.329053,1348994512562.71,0.0005058283936476225,8.834013386982903,67,-4.188577512263434e-05
DOM,Dominican Republic,1961,654100200.0,1348994512562.71,0.00048487980781878324,8.815644281923408,68,-4.2187470328588204e-05
CMR,Cameroon,1961,652777608.320492,1348994512562.71,0.00048389938005040384,8.814765248764132,69,2.4477661599574024e-06
CIV,Cote d'Ivoire,1961,618245634.179831,1348994512562.71,0.0004583010741869797,8.79116105821845,70,3.0153912107581623e-05
MMR,Myanmar,1961,605581577.287066,1348994512562.71,0.000448913299236949,8.782172654794085,71,2.1632390098490727e-05
PAN,Panama,1961,599026300.0,1348994512562.71,0.0004440539189903883,8.777445890326094,72,2.3005753796748315e-05
TTO,Trinidad and Tobago,1961,584964620.921781,1348994512562.71,0.00043363009669365727,8.767129600435895,73,1.3737221722347074e-05
NPL,Nepal,1961,531959561.62226,1348994512562.71,0.00039433782470448046,8.7258786194533,74,-4.125226301071149e-06
HND,Honduras,1961,503300000.0,1348994512562.71,0.0003730926963104332,8.70182693039714,75,2.496524322201919e-07
CRI,Costa Rica,1961,490325181.614275,1348994512562.71,0.0003634745560845871,8.690484197866398,76,-3.43452719098871e-05
